"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 04 11:38:43 EST 2022","Tue Jan 04 11:38:45 EST 2022","1775","","Home","","Home","Click on the logo & assert the url doesn't content get-started text","Click on the logo & assert the url doesn't content get-started text",""
"passed","Tue Jan 04 11:38:32 EST 2022","Tue Jan 04 11:38:37 EST 2022","4797","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"failed","Thu Jan 06 21:17:03 EST 2022","Thu Jan 06 21:17:34 EST 2022","30560","","Exercise 1 - Contact","","Exercise 1 - Contact","Fill out a contact form, click on submit, and assert a success message","Fill out a contact form, click on submit, and assert a success message",""
"passed","Tue Jan 04 18:13:06 EST 2022","Tue Jan 04 18:13:07 EST 2022","685","","Home","","Home","Click get started button & assert url contains get-started text","Click get started button & assert url contains get-started text",""
"passed","Wed Jan 05 17:09:09 EST 2022","Wed Jan 05 17:09:12 EST 2022","2972","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them using wait commands","Get the text of all menu items & assert them using wait commands",""
"passed","Tue Jan 04 11:38:37 EST 2022","Tue Jan 04 11:38:42 EST 2022","5289","","Home","","Home","Open About Page & assert URL","Open About Page & assert URL",""
"broken","Tue Jan 04 12:36:01 EST 2022","Tue Jan 04 12:37:30 EST 2022","88924","","Home","","Home","""before each"" hook for Home","""before each"" hook for Home",""
"passed","Tue Jan 04 18:13:08 EST 2022","Tue Jan 04 18:13:10 EST 2022","2623","","Home","","Home","Fid heading element & assert the text","Fid heading element & assert the text",""
"passed","Wed Jan 05 17:09:01 EST 2022","Wed Jan 05 17:09:09 EST 2022","7850","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them","Get the text of all menu items & assert them",""
"passed","Tue Jan 04 18:12:59 EST 2022","Tue Jan 04 18:13:06 EST 2022","7417","","Home","","Home","Open About Page & assert URL","Open About Page & assert URL",""
"passed","Tue Jan 04 18:13:07 EST 2022","Tue Jan 04 18:13:08 EST 2022","882","","Home","","Home","Click on the logo & assert the url doesn't content get-started text","Click on the logo & assert the url doesn't content get-started text",""
"passed","Tue Jan 04 11:38:42 EST 2022","Tue Jan 04 11:38:43 EST 2022","1616","","Home","","Home","Click get started button & assert url contains get-started text","Click get started button & assert url contains get-started text",""
"passed","Wed Jan 05 09:32:10 EST 2022","Wed Jan 05 09:32:11 EST 2022","1072","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them using wait commands","Get the text of all menu items & assert them using wait commands",""
"passed","Tue Jan 04 11:38:45 EST 2022","Tue Jan 04 11:38:46 EST 2022","1156","","Home","","Home","Fid heading element & assert the text","Fid heading element & assert the text",""
"passed","Wed Jan 05 09:32:05 EST 2022","Wed Jan 05 09:32:10 EST 2022","5011","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them","Get the text of all menu items & assert them",""
"passed","Tue Jan 11 15:13:33 EST 2022","Tue Jan 11 15:13:44 EST 2022","10832","","Exercise 1 - Contact","","Exercise 1 - Contact","Fill out a contact form, click on submit, and assert a success message","Fill out a contact form, click on submit, and assert a success message",""
"passed","Mon Jan 10 18:13:09 EST 2022","Mon Jan 10 18:13:23 EST 2022","14654","","Exercise 1 - Contact","","Exercise 1 - Contact","Fill out a contact form, click on submit, and assert a success message","Fill out a contact form, click on submit, and assert a success message",""
"passed","Thu Jan 06 18:14:36 EST 2022","Thu Jan 06 18:14:45 EST 2022","8103","","Exercise 2 - Blog","","Exercise 2 - Blog","Get list of recent posts, assert length of each item and count of rows","Get list of recent posts, assert length of each item and count of rows",""
"passed","Tue Jan 04 18:12:51 EST 2022","Tue Jan 04 18:12:59 EST 2022","7916","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"passed","Thu Jan 06 18:14:43 EST 2022","Thu Jan 06 18:14:48 EST 2022","4862","","Exercise 2 - Blog","","Exercise 2 - Blog","Get list of recent posts, assert length of each item and count of rows","Get list of recent posts, assert length of each item and count of rows",""
"passed","Mon Jan 10 18:13:07 EST 2022","Mon Jan 10 18:13:25 EST 2022","18717","","Exercise 1 - Contact","","Exercise 1 - Contact","Fill out a contact form, click on submit, and assert a success message","Fill out a contact form, click on submit, and assert a success message",""
